filename,-1_anomaly,-1_cluster,-1_bucket,-1_filtered,-1_cluster_length,-1_cluster_height,-1_cluster_gradient_tr,-1_cluster_gradient_tl,0_anomaly,0_cluster,0_bucket,0_filtered,0_cluster_length,0_cluster_height,0_cluster_gradient_tr,0_cluster_gradient_tl,4_anomaly,4_cluster,4_bucket,4_filtered,4_cluster_length,4_cluster_height,4_cluster_gradient_tr,4_cluster_gradient_tl,5_anomaly,5_cluster,5_bucket,5_filtered,5_cluster_length,5_cluster_height,5_cluster_gradient_tr,5_cluster_gradient_tl,1_anomaly,1_cluster,1_bucket,1_filtered,1_cluster_length,1_cluster_height,1_cluster_gradient_tr,1_cluster_gradient_tl,2_anomaly,2_cluster,2_bucket,2_filtered,2_cluster_length,2_cluster_height,2_cluster_gradient_tr,2_cluster_gradient_tl,3_anomaly,3_cluster,3_bucket,3_filtered,3_cluster_length,3_cluster_height,3_cluster_gradient_tr,3_cluster_gradient_tl,6_anomaly,6_cluster,6_bucket,6_filtered,6_cluster_length,6_cluster_height,6_cluster_gradient_tr,6_cluster_gradient_tl,7_anomaly,7_cluster,7_bucket,7_filtered,7_cluster_length,7_cluster_height,7_cluster_gradient_tr,7_cluster_gradient_tl,8_anomaly,8_cluster,8_bucket,8_filtered,8_cluster_length,8_cluster_height,8_cluster_gradient_tr,8_cluster_gradient_tl,9_anomaly,9_cluster,9_bucket,9_filtered,9_cluster_length,9_cluster_height,9_cluster_gradient_tr,9_cluster_gradient_tl,10_anomaly,10_cluster,10_bucket,10_filtered,10_cluster_length,10_cluster_height,10_cluster_gradient_tr,10_cluster_gradient_tl,12_anomaly,12_cluster,12_bucket,12_filtered,12_cluster_length,12_cluster_height,12_cluster_gradient_tr,12_cluster_gradient_tl,11_anomaly,11_cluster,11_bucket,11_filtered,11_cluster_length,11_cluster_height,11_cluster_gradient_tr,11_cluster_gradient_tl,13_anomaly,13_cluster,13_bucket,13_filtered,13_cluster_length,13_cluster_height,13_cluster_gradient_tr,13_cluster_gradient_tl,14_anomaly,14_cluster,14_bucket,14_filtered,14_cluster_length,14_cluster_height,14_cluster_gradient_tr,14_cluster_gradient_tl
1085956.js,,,,,,,,,0.0,0,34.0,True,359.0,4.5,0.012534818941504178,-0.012534818941504178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092996.js,,,,,,,,,0.0,0,21.0,True,359.0,2.75,0.00766016713091922,-0.00766016713091922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159346.js,,,,,,,,,0.0,0,8.0,True,359.0,3.75,0.010445682451253482,-0.010445682451253482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169150.js,,,,,,,,,0.0,0,24.0,True,359.0,1.75,0.004874651810584958,-0.004874651810584958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169299.js,,,,,,,,,0.0,0,23.0,True,359.0,2.25,0.006267409470752089,-0.006267409470752089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208807.js,,,,,,,,,0.0,0,13.0,True,359.0,2.75,0.00766016713091922,-0.00766016713091922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230176.js,,,,,,,,,0.0,0,30.0,True,359.0,2.0,0.005571030640668524,-0.005571030640668524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231244.js,,,,,,,,,0.0,0,4.0,True,331.0,2.0,0.006042296072507553,-0.006042296072507553,,,,,,,,,,,,,,,,,0.0,1.0,35.0,True,23.0,1.25,0.05434782608695652,-0.05434782608695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238382.js,,,,,,,,,0.0,0,12.0,True,359.0,3.0,0.008356545961002786,-0.008356545961002786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244284.js,0.0,-1.0,35.0,True,,,,,0.0,0,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275278.js,,,,,,,,,0.0,0,29.0,True,359.0,3.75,0.010445682451253482,-0.010445682451253482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276920.js,,,,,,,,,0.0,0,35.0,True,359.0,1.5,0.004178272980501393,-0.004178272980501393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283695.js,,,,,,,,,0.0,0,11.0,True,359.0,2.5,0.006963788300835654,-0.006963788300835654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286123.js,,,,,,,,,0.0,0,15.0,True,359.0,1.5,0.004178272980501393,-0.004178272980501393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
